Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
4004713168329653760,19.885896738985725,1667.19861,0.07407407407407407,2,27,0.2773661858088821,0.0,337.68718939977373,134.0
4006366295148391425,0.21100234926944758,3018.5418057,0.17180616740088106,117,681,0.09077302452755483,-7.491273924913443e+56,1.4982547849826887e+56,56.0
4008537296438699777,1.8840612026721352e-05,2330.8456453100002,0.4654205607476635,249,535,0.10732542886799193,-1.3720624600781338e+36,2.7441249201562677e+35,75.0
4008711265867865600,1.4522974153211584e-05,11298.706389769999,0.4213197969543147,166,394,0.2661967337687149,-8.023897015998404e+97,1.6047794031996809e+97,45.0
4008804082027254529,2.640911902379419e-06,3332.73345887,0.5405128205128205,527,975,0.03858112840934883,-2.35119347375385e+25,4.7023869475077e+24,82.0
4011626972687000576,0.0004493603633140391,5483.14982082,0.38408190224570676,2326,6056,0.07640343448195867,-inf,inf,22.5
4012994295026226176,0.0008299221795598746,2500.33664614,0.4003189792663477,251,627,0.21446090266682039,-1.396181682424413e+90,2.7923633648488265e+89,46.0
4013955990069013504,0.07472201770441426,1690.02704985,0.659217877094972,236,358,0.22879761162501946,-4871.875701631441,1312.7730977975732,106.0
4013978721149559808,0.0037772327727563487,3778.87822398,0.20748299319727892,61,294,0.16206247573432941,0.0,756.050309336341,108.0
4014818740371615232,7.650910681979694e-06,2013.64751009,0.20982986767485823,111,529,0.19061078154557484,-1.3780617726553466e+39,2.7561235453106932e+38,71.0
4016164457907769600,7.1323964895576034e-06,3742.68731972,0.4353932584269663,310,712,0.15724446074254095,-3.237938571223248e+60,6.475877142446496e+59,54.0
4017110277719148289,4.455798962877624e-05,2899.93302141,0.5674603174603174,143,252,0.39368329462579077,0.0,580.3788419160153,115.0
4017263283405469185,5.796697733273648e-06,7141.3664193899995,0.336198347107438,2034,6050,0.02983520141790966,-inf,inf,22.5
4017323550554338817,0.03555361093728618,3134.7351025,0.5009174311926605,273,545,0.2128376471071754,0.0,627.2968822378475,114.0
4019895412775450368,0.0009650088119024902,2640.30025492,0.4238178633975482,242,571,0.28408519148734074,0.0,528.4018245967394,121.0
4020204877254599680,5.4892235760837985e-06,71998.85595307,0.3294214876033058,1993,6050,0.060696987581057224,-inf,inf,22.5
4021243448368889856,0.003043390890779782,1498.1937579,0.3785123966942149,2290,6050,0.09088257068219184,-inf,inf,22.5
4021669203289716224,1.0523349771355531e-05,26427.33159178,0.31391200951248516,528,1682,0.06820730334689702,-inf,inf,22.5
4022565861939831809,3.526595285359403e-06,14197.57707589,0.5276595744680851,372,705,0.2994535961266823,-inf,inf,22.5
4022641794255717633,0.34844523597670274,2176.83382376,0.43522802379378717,2634,6052,0.5432036803122697,-inf,inf,22.5
4023616625178799873,0.00042098646598183795,2087.77119301,0.40991535671100365,339,827,0.2523407467678846,-7.123954955675554e+74,1.4247909911351107e+74,48.0
4023697433751327232,22.824928756774167,2408.22399998,0.09523809523809523,4,42,0.300106994585881,0.0,486.4888547653196,126.0
4023697881318718465,15.042600261845958,3151.95061998,0.08571428571428572,6,70,0.2758088619146162,0.0,633.670948677895,113.0
